Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
5381,"4,270",53,,"1,829",,,,"2,175",,99,,"4,194"
5382,"15,139",539,424,"10,538",,394,,"8,235",,917,,"7,418"
5383,"12,249",796,,"2,563",,587,,"5,682",,832,,"13,505"
5384,"16,562","1,533",279,"9,151",,,242,"10,176",,"2,925",,"10,169"
5385,"37,671","10,734",771,"29,109",,"1,844",279,"18,836","2,206","7,494",36,"47,310"
5386,"17,143",288,116,"9,798",,252,,"4,175",,"2,045",,"12,261"
5387,"11,215","1,060",,"5,167",,117,,"5,136",,"1,445",,"6,841"
5388,"25,631","4,269",708,"8,294",,603,205,"9,093",297,"2,729",,"25,930"
5389,"16,642",236,,"4,362",,117,162,"6,136",,780,,"11,321"
5390,"17,805","25,982",,"23,300",,"1,714",,"3,285",,"4,475",135,"18,532"
5391,"7,394",241,,"2,579",,168,,"2,782",,152,,"7,993"
5392,"15,390",,117,"8,504",,400,,"4,391",,609,,"12,755"
5393,"13,743","2,464",79,"7,195",,139,,"5,264",,954,,"12,838"
5394,"20,517",378,,"3,188",,,,"3,090",,360,,"11,015"
5395,"13,771","2,211",,"11,714",,59,,"11,245",81,"3,070",,"9,237"
5396,"10,295",638,,"5,546",,117,,"6,256",,260,,"7,758"
5397,"34,053","1,703",272,"12,083",,"1,367",,"9,673",,"1,351",,"22,725"
5398,"7,318",220,,"4,541",,126,,"3,292",,207,36,"4,804"
5399,"21,076",428,,"6,192",,311,,"8,455",,"1,625",,"17,254"
5400,"19,480",273,,"2,169",,153,"4,096","5,604",,509,,"4,676"
5401,136,746,,294,,,,,138,54,,485
5402,"96,940","13,065","8,107","63,125","15,713","9,893","4,119","60,410","15,467","23,094","2,851","187,821"
5403,"29,577","40,327",,"13,660",,"2,080",,"12,786",140,"7,091",,"32,002"
5404,"18,960",678,917,"4,280",31,323,41,"6,491",171,945,,"11,084"
5405,"30,981","3,780",377,"9,048",,"1,600",,"10,947",311,"3,974",45,"41,013"
5406,"9,815","2,643",,"5,992",,238,,"5,408",,"1,037",,"10,969"
5407,"13,915",189,,"3,279",,63,,"3,389",,430,,"12,449"
5408,"10,306",225,162,"3,620",,63,,"3,395",,429,,"5,463"
5409,"12,910","1,061",529,"6,511",,797,,"7,707",,"1,546",,"11,229"
5410,"9,703",117,,"8,554",,509,,"2,670",,"1,207",,"4,145"
5411,"19,707","9,564","4,422","18,066",,"1,273","1,275","16,889","9,935","14,838",127,"20,028"
